Symbol,RebateRate,FeeRate,Available
AGTC,-0.6541,0.7341,1000000
AGTK,-10.5812,10.6612,400000
AGTT,-0.17,0.25,3000
AGUNF,-1.7578,1.8378,150000
AGX,-0.17,0.25,1000000
AGYP,-2.0725,2.1525,10000
AGYS,-0.17,0.25,1300000
AGZ,-0.523,0.603,300
AGZD,-13.4296,13.5096,100
AHAC,-10.9702,11.0502,7000
AHACU,-0.2235,0.3035,200
AHAD,-3.1207,3.2007,6000
AHC,-0.55,0.63,1300000
AHCHY,-2.6858,2.7658,7000
AHCO,-0.2503,0.3303,1300000
AHELF,-0.8384,0.9184,1000
AHEXY,-5.5098,5.5898,5000
AHFD,-0.17,0.25,200000
AHFI,-0.17,0.25,500
AHGIF,-16.8165,16.8965,100000
AHH,-0.2027,0.2827,2200000
AHH PRA,-2.8022,2.8822,20000
AHKSY,-56.7531,56.8331,300
AHL PRC,-32.5058,32.5858,90000
AHL PRD,-2.3955,2.4755,20000
AHL PRE,-11.24,11.32,35000
AHPI,-58.2154,58.2954,10000
AHT,-7.5075,7.5875,3000000
AHT PRD,-17.4645,17.5445,40000
AHT PRF,-72.3704,72.4504,100000
AHT PRG,-25.6576,25.7376,200000
AHT PRH,-21.05,21.13,100000
AHT PRI,-100.7165,100.7965,200000
AI,-4.2694,4.3494,35000
AIA,-2.7343,2.8143,900000
AIC,-14.2056,14.2856,50000
AIEQ,-6.297,6.377,15000
AIF,-2.5988,2.6788,10000
AIG,-0.17,0.25,10000000
AIG PRA,-1.5424,1.6224,300
AIH,-13.3822,13.4622,100000
AIHS,-60.0652,60.1452,5400000
AIII,-0.17,0.25,300000
AIIQ,-15.0288,15.1088,1000
AIKI,-60.6598,60.7398,30000
AIM,-9.7008,9.7808,500000
AIMC,-0.17,0.25,3800000
AIMH,-2.9202,3.0002,250000
AIN,-0.17,0.25,2400000
AINC,-105.3049,105.3849,45000
AINV,-0.6854,0.7654,250000
AIO,-26.5748,26.6548,7000
AIPUY,-2.8558,2.9358,1000
AIQ,-3.5114,3.5914,15000
AIQUY,-0.17,0.25,250000
AIR,-0.17,0.25,2900000
AIRC,-0.17,0.25,2600000
AIRG,-0.7502,0.8302,300000
AIRI,-5.0155,5.0955,150000
AIRO,-1.1415,1.2215,2000
AIRR,-0.17,0.25,2000
AIRT,-5.3092,5.3892,50000
AIRTP,-5.6379,5.7179,3000
AIRYY,-12.1872,12.2672,400
AISSF,-0.8384,0.9184,500
AIT,-0.17,0.25,2000000
AITA,-0.17,0.25,1000
AITX,-6.0346,6.1146,10000000
AIV,-0.1776,0.2576,8600000
AIVN,-4.4757,4.5557,150000
AIW,-2.6484,2.7284,15000
AIZ,-0.17,0.25,2700000
AIZN,-0.9191,0.9991,8000
AIZP,-1.5773,1.6573,250000
AJAX,-0.937,1.017,450000
AJAX U,-0.17,0.25,90000
AJG,-0.17,0.25,5300000
AJOY,-1.8127,1.8927,100000
AJRD,-0.17,0.25,2300000
AJX,-0.1923,0.2723,1000000
AJXA,-6.1738,6.2538,70000
AKAM,-0.17,0.25,4700000
AKAOQ,-9.0271,9.1071,450000
AKBA,-0.3065,0.3865,1500000
AKBTY,-21.2723,21.3523,150000
AKER,-38.3645,38.4445,550000
AKO A,-76.3538,76.4338,7000
AKO B,-2.5054,2.5854,6000
AKR,-0.2445,0.3245,2300000
AKRO,-0.1741,0.2541,15000
AKTS,-9.7324,9.8124,550000
AKTX,-4.5511,4.6311,100000
AKU,-2.2518,2.3318,25000
AKUS,-0.4341,0.5141,100000
AKZOY,-2.2117,2.2917,4000
AL,-0.17,0.25,7200000
AL PRA,-26.8892,26.9692,45000
ALAC,-10.9693,11.0493,15000
ALB,-0.17,0.25,2400000
ALBKY,-0.5338,0.6138,1000000
ALBO,-0.1818,0.2618,350000
ALBY,-0.17,0.25,100
ALC,-0.2236,0.3036,500000
ALCO,-0.2256,0.3056,300000
ALDX,-0.2339,0.3139,750000
ALE,-0.17,0.25,1900000
ALEAF,-11.0328,11.1128,850000
ALEC,-0.17,0.25,400000
ALEX,-0.3065,0.3865,2300000
ALFA,-4.4742,4.5542,2000
ALFVY,-0.622,0.702,50000
ALG,-0.2048,0.2848,1000000
ALGM,-0.2877,0.3677,350000
ALGN,-0.17,0.25,2700000
ALGS,-0.2833,0.3633,10000
ALGT,-0.17,0.25,1000000
ALIF,-0.5136,0.5936,30000
ALIM,-0.9136,0.9936,20000
ALIN PRA,-15.2124,15.2924,200000
ALIN PRB,-26.0018,26.0818,150000
ALIN PRE,-86.5295,86.6095,150000
ALIZY,-0.5941,0.6741,150000
ALJJ,-1.4003,1.4803,500000
ALK,-0.17,0.25,5300000
ALKM,-3.1117,3.1917,3000000
ALKS,-0.17,0.25,4100000
ALL,-0.17,0.25,10000000
ALL PRG,-13.7016,13.7816,3000
ALL PRH,-0.984,1.064,10000
ALL PRI,-12.5721,12.6521,25000
ALLE,-0.17,0.25,2700000
ALLK,-0.17,0.25,75000
ALLM,-0.8384,0.9184,10000
ALLO,-0.3479,0.4279,600000
ALLT,-2.145,2.225,2200000
ALLXF,-6.3492,6.4292,500
ALLY,-0.17,0.25,10000000
ALLY PRA,-6.5388,6.6188,1900000
ALNA,-1.2222,1.3022,70000
ALNY,-0.17,0.25,3900000
ALOT,-2.4445,2.5245,800000
ALP PRQ,-5.35,5.43,25000
ALPIB,-0.5137,0.5937,300
ALPMY,-1.4756,1.5556,8000
ALPN,-1.0464,1.1264,250000
ALPP,-26.1349,26.2149,10000000
ALRM,-0.17,0.25,1800000
ALRN,-20.047,20.127,750000
ALRS,-0.3686,0.4486,100000
ALRT,-0.9079,0.9879,900000
ALSK,-1.3443,1.4243,1900000
ALSMY,-2.1468,2.2268,100000
ALSN,-0.5937,0.6737,4900000
ALST,-2.3019,2.3819,75000
ALT,-0.5975,0.6775,500000
ALTA,-0.207,0.287,600000
ALTD,-3.1637,3.2437,150000
ALTG,-1.5621,1.6421,700000
ALTG PRA,-0.17,0.25,400
ALTL,-2.4445,2.5245,10000
ALTM,-27.2022,27.2822,150000
ALTR,-0.2729,0.3529,650000
ALTX,-0.17,0.25,200
ALTY,-21.271,21.351,30000
ALUS,-0.6854,0.7654,10000
ALV,-0.172,0.252,1500000
ALVOF,-10.2564,10.3364,800000
ALVR,-0.8937,0.9737,20000
ALVRQ,-12.5297,12.6097,30000
ALX,-0.2121,0.2921,65000
ALXN,-0.17,0.25,8000000
ALXO,-0.4805,0.5605,30000
ALYA,-3.0033,3.0833,850000
ALYI,-15.4525,15.5325,5700000
AM,-0.17,0.25,10000000
AMADY,-4.8801,4.9601,800
AMAL,-0.6493,0.7293,400000
AMAR,-1.4608,1.5408,100000
AMAT,-0.17,0.25,10000000
AMAZ,-0.689,0.769,1200000
AMBA,-0.17,0.25,1600000
AMBC,-0.17,0.25,2300000
AMBD,-0.17,0.25,30000
AMBK,-0.8384,0.9184,500
AMBO,-1.6463,1.7263,850000
AMBS,-3.7742,3.8542,2800000
AMBZ,-0.2439,0.3239,95000
AMC,-33.2672,33.3472,750000
AMCA,-0.6962,0.7762,100
AMCI,-2.4892,2.5692,150000
AMCIU,-1.2266,1.3066,500
AMCR,-0.17,0.25,10000000
AMCX,-1.3619,1.4419,500000
AMD,-0.17,0.25,10000000
AME,-0.3065,0.3865,10000000
AMED,-0.17,0.25,1400000
AMEH,-0.2816,0.3616,200000
AMFC,-0.22,0.3,200
AMG,-0.17,0.25,350000
AMGN,-0.17,0.25,10000000
AMGY,-1.488,1.568,70000
AMH,-0.17,0.25,6700000
AMH PRD,-5.8382,5.9182,15000
AMH PRE,-5.6243,5.7043,60000
AMH PRF,-0.2646,0.3446,9000
AMH PRG,-0.9582,1.0382,10000
AMH PRH,-1.0024,1.0824,85000
AMHC,-0.7255,0.8055,30000
AMHD,-0.22,0.3,9000
AMHG,-6.1363,6.2163,30000
AMHV,-1.1485,1.2285,200
AMIGY,-13.1344,13.2144,500
AMIH,-2.7923,2.8723,55000
AMJ,-1.7736,1.8536,100000
AMK,-0.2413,0.3213,250000
AMKBY,-9.337,9.417,30000
AMKR,-0.3065,0.3865,10000000
AMLH,-0.5397,0.6197,10000000
AMLM,-1.5204,1.6004,85000
AMLP,-2.3177,2.3977,1400000
AMLYY,-5.37,5.45,10000
AMLZF,-8.7576,8.8376,600000
AMMJ,-6.8789,6.9589,150000
AMMXD,-0.8514,0.9314,9000
AMN,-0.17,0.25,3700000
AMNB,-0.265,0.345,450000
AMNC,-1.1762,1.2562,4000
AMNF,-4.7485,4.8285,1500000
AMNL,-0.8384,0.9184,600000
AMOM,-6.3957,6.4757,200
AMOT,-0.2842,0.3642,500000
AMOV,-6.9064,6.9864,7000
AMP,-0.1736,0.2536,4000000
AMPE,-2.3688,2.4488,250000
AMPG,-1.5009,1.5809,90000
AMPH,-21.8054,21.8854,1800000
AMPY,-1.3098,1.3898,5000000
AMPYW,-6.1856,6.2656,50000
AMRB,-1.7679,1.8479,250000
AMRC,-0.17,0.25,1600000
AMRK,-0.5591,0.6391,350000
AMRN,-1.1523,1.2323,10000000
AMRR,-3.7223,3.8023,30000
AMRS,-1.1205,1.2005,100000
AMRU,-0.17,0.25,30000
AMRX,-0.1909,0.2709,1100000
AMS,-1.2233,1.3033,150000
AMSA,-0.17,0.25,3000
AMSC,-0.3065,0.3865,500000
AMSF,-0.2675,0.3475,1500000
AMSSY,-81.5782,81.6582,5000
AMST,-4.0628,4.1428,4000
AMSWA,-0.17,0.25,2100000
AMT,-0.17,0.25,10000000
AMTB,-0.6854,0.7654,100000
AMTBB,-35.6262,35.7062,6000
AMTI,-1.9754,2.0554,150000
AMTX,-32.1481,32.2281,100000
AMTY,-1.8127,1.8927,30000
AMWD,-0.17,0.25,1200000
AMWL,-2.0213,2.1013,350000
AMX,-0.2809,0.3609,3500000
AMXEF,-12.4336,12.5136,20000
AMXX,-0.17,0.25,400
AMYT,-2.3092,2.3892,85000
AMZA,-2.4137,2.4937,200000
AMZGQ,-1.6175,1.6975,500000
AMZN,-0.17,0.25,10000000
AN,-0.17,0.25,4800000
ANAB,-0.17,0.25,1000000
ANAT,-0.4824,0.5624,950000
ANCE,-1.8777,1.9577,850000
ANCN,-115.9878,116.0678,100000
ANCUF,-0.2702,0.3502,5400000
ANDA,-2.0764,2.1564,9000
ANDE,-0.3065,0.3865,2800000
ANDR,-1.0149,1.0949,150000
ANET,-0.17,0.25,1100000
ANEW,-2.4986,2.5786,95000
ANF,-0.17,0.25,6500000
ANFC,-0.5137,0.5937,200
ANFD,-0.17,0.25,4000
ANFIF,-82.7422,82.8222,10000
ANGI,-0.2308,0.3108,1200000
ANGL,-1.5986,1.6786,3000000
ANGO,-0.17,0.25,3800000
ANGPY,-9.6559,9.7359,5000
ANGYF,-3.1427,3.2227,6000
ANH,-0.3624,0.4424,900000
ANH PRA,-135.8385,135.9185,45000
ANH PRC,-3.0207,3.1007,100000
ANIK,-0.3065,0.3865,850000
ANIP,-0.17,0.25,650000
ANIX,-2.4582,2.5382,850000
ANLDF,-15.8552,15.9352,15000
ANNX,-0.222,0.302,35000
ANPC,-105.7687,105.8487,45000
ANPCY,-0.6854,0.7654,1000
ANSLY,-2.32,2.4,600
ANSS,-0.17,0.25,2300000
ANSU,-0.22,0.3,20000
ANTE,-48.9316,49.0116,400000
ANTH,-20.3239,20.4039,350000
ANTM,-0.17,0.25,10000000
ANVS,-9.5571,9.6371,100000
ANXGF,-2.8533,2.9333,30000
ANY,-50.1026,50.1826,65000
ANZBY,-14.2957,14.3757,25000
ANZLY,-0.6854,0.7654,200
AOA,-7.8571,7.9371,95000
AOBI,-0.17,0.25,4
AOD,-1.9247,2.0047,350000
AOGSQ,-1.437,1.517,250000
AOIFF,-17.1553,17.2353,350000
AOK,-10.6927,10.7727,10000
AOLS,-0.22,0.3,250000
AOM,-1.5403,1.6203,650000
AON,-0.17,0.25,4900000
AONE,-1.6827,1.7627,25000
AONE U,-0.2055,0.2855,4000
AONNY,-2.3092,2.3892,100
AOR,-1.6281,1.7081,150000
AOS,-0.4147,0.4947,5100000
AOSL,-1.9032,1.9832,2400000
AOTVF,-4.448,4.528,30000
AOUT,-0.17,0.25,1100000
AOXG,-12.5297,12.6097,6000
AOXY,-1.0678,1.1478,3000
AP,-1.0898,1.1698,85000
APA,-0.17,0.25,7100000
APAFF,-3.1247,3.2047,45000
APAM,-0.1788,0.2588,3500000
APD,-0.17,0.25,10000000
APDN,-92.294,92.374,60000
APEI,-0.3139,0.3939,1500000
APEMY,-19.9276,20.0076,700
APEN,-0.787,0.867,700000
APEX,-71.8791,71.9591,6000
APG,-0.17,0.25,1100000
APH,-0.17,0.25,10000000
APHA,-1.7825,1.8625,750000
APHYQ,-0.22,0.3,40000
API,-7.3032,7.3832,1700000
APLE,-0.17,0.25,7300000
APLS,-0.17,0.25,450000
APLT,-0.2445,0.3245,85000
APM,-39.4229,39.5029,150000
APNHY,-2.1738,2.2538,10000
APO,-0.17,0.25,1600000
APO PRA,-1.4973,1.5773,15000
APO PRB,-7.8199,7.8999,50000
APOG,-0.3065,0.3865,2300000
APOP,-31.6388,31.7188,60000
APPF,-0.17,0.25,150000
APPN,-0.4433,0.5233,200000
APPS,-0.17,0.25,2500000
APPZ,-0.17,0.25,1200000
APRE,-1.213,1.293,100000
APRN,-5.825,5.905,100000
APRU,-0.1982,0.2782,95000
APSG,-0.9227,1.0027,350000
APSG U,-1.5074,1.5874,100000
APSI,-0.22,0.3,6000
APT,-4.6278,4.7078,75000
APTL,-0.7395,0.8195,200
APTO,-2.3177,2.3977,650000
APTS,-0.3065,0.3865,800000
APTV,-0.17,0.25,8600000
APTV PRA,-1.8114,1.8914,1100000
APTX,-1.0913,1.1713,300000
APTY,-2.1375,2.2175,10000000
APVO,-12.8787,12.9587,90000
APVS,-0.9826,1.0626,700000
APWC,-37.9442,38.0242,100000
APXT,-0.8085,0.8885,850000
APXTU,-0.17,0.25,100
APYP,-0.8384,0.9184,10000000
APYX,-0.1976,0.2776,400000
AQARF,-0.22,0.3,10000
AQB,-22.5524,22.6324,750000
AQFH,-0.8397,0.9197,5000
AQMS,-3.2343,3.3143,1000000
AQMT,-0.17,0.25,100
AQN,-0.3065,0.3865,2900000
AQNA,-31.0186,31.0986,15000
AQNB,-1.7291,1.8091,8000
AQSP,-1.2281,1.3081,6000
AQST,-2.5332,2.6132,350000
AQUA,-0.3065,0.3865,3400000
AQUI,-2.0985,2.1785,7000
AR,-0.2785,0.3585,3600000
ARA,-0.2342,0.3142,1600000
ARAV,-0.6555,0.7355,250000
ARAY,-0.17,0.25,3100000
ARB,-1.057,1.137,500
ARBGU,-0.17,0.25,15000
ARBTF,,,1000
ARBV,-0.8384,0.9184,6000
ARC,-0.2126,0.2926,1500000
ARCB,-0.3134,0.3934,2200000
ARCC,-0.198,0.278,2400000
ARCE,-0.6752,0.7552,50000
ARCH,-0.1982,0.2782,850000
ARCO,-0.4032,0.4832,450000
ARCT,-0.1808,0.2608,150000
ARCW,-0.8384,0.9184,200000
ARD,-0.4147,0.4947,150000
ARDC,-11.414,11.494,95000
ARDS,-8.6798,8.7598,10000
ARDX,-0.3065,0.3865,1900000
ARE,-0.17,0.25,3700000
AREC,-23.3829,23.4629,150000
ARES,-0.17,0.25,1700000
ARES PRA,-0.3254,0.4054,1000
ARFXF,-0.7735,0.8535,40000
ARGD,-27.9708,28.0508,25000
ARGGD,-0.17,0.25,35000
ARGO,-0.2018,0.2818,3700000
ARGO PRA,-9.7075,9.7875,45000
ARGQ,-0.8384,0.9184,2100000
ARGT,-3.5621,3.6421,5000
ARGTF,-6.5354,6.6154,9000
ARGX,-0.1883,0.2683,500000
